Date,Open,High,Low,Close,Adj Close,Volume
2001-01-18,283.5,284.25,283.0,284.25,284.25,79
2001-01-19,284.5,286.0,284.25,285.5,285.5,127
2001-01-22,286.0,286.25,285.0,286.0,286.0,79
2001-01-23,285.5,286.0,284.5,285.25,285.25,36
2001-01-24,286.0,286.5,285.75,286.5,286.5,40
2001-01-25,285.5,285.5,285.0,285.0,285.0,184
2001-01-26,279.0,280.5,278.75,278.75,278.75,40
2001-01-29,276.0,276.25,274.75,274.75,274.75,144
2001-01-30,269.25,271.0,269.0,271.0,271.0,129
2001-01-31,270.5,271.0,268.0,271.0,271.0,49
2001-02-01,273.5,273.5,272.5,273.0,273.0,106
2001-02-02,271.0,271.0,269.25,269.25,269.25,114
2001-02-05,272.5,276.0,271.5,271.5,271.5,462
2001-02-06,267.5,268.5,265.75,267.5,267.5,23
2001-02-07,267.0,267.0,266.25,267.0,267.0,49
2001-02-08,267.0,267.75,267.0,267.5,267.5,23
2001-02-09,267.0,267.5,267.0,267.25,267.25,52
2001-02-12,266.0,267.25,265.75,266.0,266.0,141
2001-02-14,263.5,265.0,263.0,265.0,265.0,162
2001-02-15,268.0,268.5,267.75,268.5,268.5,174
2001-02-16,267.0,269.0,267.0,269.0,269.0,162
2001-02-20,265.25,268.0,265.25,267.0,267.0,28
2001-02-21,267.0,267.0,266.25,267.0,267.0,83
2001-02-22,262.5,263.0,262.25,263.0,263.0,62
2001-02-26,260.0,260.0,259.5,259.75,259.75,18
2001-02-27,260.25,260.25,259.0,260.0,260.0,26
2001-02-28,258.5,269.0,257.5,257.5,257.5,8
2001-03-01,267.5,267.75,265.75,267.75,267.75,8
2001-03-02,267.5,267.75,265.75,266.75,266.75,1
2001-03-06,274.0,274.25,274.0,274.0,274.0,1
2001-03-07,274.0,274.0,274.0,272.25,272.25,2
2001-03-09,268.0,268.0,268.0,268.0,268.0,2
2001-03-12,268.0,270.25,268.0,277.0,277.0,133
2001-03-15,284.75,285.0,283.5,284.0,284.0,266
2001-03-16,273.75,274.5,273.0,273.0,273.0,97
2001-03-19,270.0,271.25,270.0,271.25,271.25,68
2001-03-20,269.5,269.5,267.5,268.75,268.75,108
