date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-05-04,200.6,210.03,199.13,209.49,202.62,2454400,2454400,8.89,4.43,206.22,"May 04, 22",0.0443
2022-05-03,197.26,200.6,195.6,199.44,192.9,1957800,1957800,2.18,1.11,198.55,"May 03, 22",0.0111
2022-05-02,198.94,200.48,192.82,197.01,190.55,2225600,2225600,-1.93,-0.97014,196.77,"May 02, 22",-0.0097014
2022-04-29,205.34,208.87,198,198.74,192.22,2338600,2338600,-6.6,-3.21,201.87,"April 29, 22",-0.0321
2022-04-28,201.82,207.07,200.59,206.85,200.07,2261400,2261400,5.03,2.49,204.84,"April 28, 22",0.0249
2022-04-27,198.22,201.56,196.15,199.26,192.73,1613700,1613700,1.04,0.52467,198.99,"April 27, 22",0.0052467
2022-04-26,204.47,205.29,198.23,200,193.44,1927500,1927500,-4.47,-2.19,201.17,"April 26, 22",-0.0219
2022-04-25,204.05,205.8,197.7,205.4,198.67,2162600,2162600,1.35,0.6616,202.97,"April 25, 22",0.006616
2022-04-22,205.62,207.91,204.26,205.21,198.48,2114800,2114800,-0.41,-0.1994,205.79,"April 22, 22",-0.001994
2022-04-21,209.98,210.75,205.5,206.86,200.08,2099500,2099500,-3.12,-1.49,207.7,"April 21, 22",-0.0149
2022-04-20,210.54,214.07,209.08,209.19,202.33,1824900,1824900,-1.35,-0.64121,210.78,"April 20, 22",-0.0064121
2022-04-19,204.55,210.09,204.27,208.81,201.96,1761400,1761400,4.26,2.08,207.72,"April 19, 22",0.0208
